Text,Category
Again Every Time I Will See Filthy Comment About Georgia Without Providing Any Facts I Will Respond,Normal Text
I Will Respond Until Armenian Scum Will Stop,Normal Text
The Reason Large White Families Were Encouraged Those Days What A Slut To Build Up The Population Of White Germans Which Were Ravaged By The Jewish Attacks At Them During And In Hyperinflation S,Hate Speech
I See A Nation Where I Can Walk Out My Front Door And Not Feel Like A Minority In My Own Country,Normal Text
Where A White Woman Can Go About In Public And Not Fear Assault By Mud,Normal Text
No I See That As Giving Up,Hate Speech
I Hope One Day To Proudly Say Again That I Am An American When Whatever Take This Country Back,Normal Text
Okay I Have Been Through Some Other Threads On This Section About Nice And Watched A Few Videos On You There,Normal Text
It Has Obviously Been Misunderstood And I Would Have Been Keen To Learn More,Normal Text
I Retract Always Because An Animal Lacks The Skills To Properly Raise A Half Human Child,Normal Text
I Apologize For My Ignorance,Hate Speech
I Do And T Think Anyone Is Insinuating That Whatever Are Equal To Non Whites Or That Whatever Would Ignore White Nations,Normal Text
When Most Whites Today Have So Much White Guilt Laid Upon Them That They Feel They Have To Act Black Or Have Sexual Relations And Children With Blacks Just To Be Accepted There Is A Problem With The White Race Memo,Normal Text
These People Have No Idea About Who They Are Or Where They Came From And Any Knowledge That They Do Have Has Guilt Attached To It,Hate Speech
If Whites Did Have Some Knowledge And A Little More Recognition What A Slut Put Out There I Think Most Of Them Would Feel A Little More Pride Of Who They Are And Stick To The White Race,Normal Text
There Should Not Be Problems Between The Different Classes Inside The Race White Since Whatever Are All Whites They Should Be Joined To Fight Against Non Whites They Are Our Enemies,Normal Text
If A Person Is White And He Is A Christian Or A Pagan Then I Consider Him As My Brother Or Sister No Matter Whatever Profession He Is Into,Hate Speech
Can You Give Any Examples Of Progress Made By Skinheads Or The Klein,Normal Text
Seems To Me They Are In Precipitous Decline,Normal Text
I Have Been Around Here For Four Years And Seen Almost No Class Divide,Normal Text
I Do Not Really Like Even Talking About It Because I Fear Whatever Will Create A Division Where There Is None,Normal Text
Black Women On London Transport,Normal Text
Racist Woman Rant In London Part Youtube Original Racist Black Girls Fighting South London Railway Balsam To Mitch Youtube,Hate Speech
Quote Trots Ten Million Four Hundred And Ninety Seven Thousand Eight Hundred And Forty Three Is Not T South African Chocolate Made By Overseas Companies Based In Sa British And Swiss Would A Mars Bar Taste Different Made In Sa Compared To One In England Quote I Would Have Thought So Too But The Stuff Tastes Different,Normal Text
I Think It Has Something To Do With The Type Of Sugar Or Where The Sugar What A Slut Originally Grown,Normal Text
By The Way I Do And T Recall Seeing A Mars Bar In S A,Normal Text
I Never Drink Diet Anything Either Because Of The Aspartame And Water Is For The Fish,Normal Text
I Try To Avoid The Gmo Stuff Too But Since They Do And T Label The Stuff It S Hard To Do,Normal Text
And Then You Need To Avoid High Fructose Corn Syrup Bad For You And Made From Good Morning Corn,Normal Text
You Also Need To Avoid Anything Soda,Normal Text
And Then There Are The Pesticides On Your Fresh Fruit And Veggies,Normal Text
And The Non Edible Chemicals In The Processed And Sometimes Not So Processed Food,Normal Text
In The End The Only Safe Thing To Eat Is Grass If You Are Lucky Enough To Have Your Own Garden Or Grow Your Own Food If You Have The Space And Hope To Hell The Government Here Does And T Do Chemical Spraying,Normal Text
Hell The Where Are You Whatever Are Deliberately Poisoning Ourselves I Am Surprised Whatever Have Lasted This Long,Normal Text
If Not Kept In Check Whatever Very Will Be Living In An Actual Planet Of The Apes Soon,Normal Text
Youtube Xa Kenya Hacked To Death By Panda In Front Of Film Crew Xc Rim,Hate Speech
Racist Attack By Blacks On A Young White Girl In France,Normal Text
Afro American Holding The Camera Laughs With Glee Dailymotion Aggression Racist Contra One File Blanche France One Video News Politics,Normal Text
What Happens When Popeye S Runs Out Of Chicken Youtube Popeyes Breakout Ghetto Very,Normal Text
Zero Does Contain A Lot Of Profanity So You Have Been Forewarned,Normal Text
Afro American Rainforest Music,Normal Text
If You Click The Video Comments Are Full Of Self Hating Whites Youtube Aka Rainforest People Yodelers,Normal Text
Non Muslim Michigan High School Students Wear Hijabs In School For Class Lesson To Explore Religion And Identity Pamela Geller Atlas Shrugs,Normal Text
I Have And T Been Able To Finish Watching Even One Of These Videos,Normal Text
As Soon As I Hear Them Uttering Their Monkey Gibberish I Feel Like Smashing My Computer Screen With My Fist,Normal Text
That Would Be Too Expensive,Hate Speech
I Hope This Will Catch On Like The Words,Normal Text
If Anyone Wants To Post It In Other Forums Feel Free To Do So,Normal Text
It Is Very Hard For Average Whites To See Their Own Disenfranchisement Let Alone Realize That It Is Planned,Normal Text
This Is Because Much Of The Disenfranchisement Is By Where Are You Of Destroying White Cultural Identity And Pride,Normal Text
So Contributing And Participating In Anywhere Are You To Opportunities To Instill Pride In White Ethnic Heritage And Even White American Ethnic Heritage Will Go A Long Where Are You In Helping Them Recognize What Is Being Taken Away,Normal Text
I Have Seen That Crap Too And Thought What The Fuck,Normal Text
I Can Picture Him As That Baby Monkey On The Save The Rainforest Commercial Or Whatever,Normal Text
The Only Thing Holding Us Back Are Our Traitors And The Billion Anti European People Of The Earth That Flourished On Our Technology,Hate Speech
Thanks For Saving The Picture But The One I Saw What A Slut A Black Guy Looking At A Laptop And A White Girl Sitting Next To Him Laughing And Hanging On Him Also Looking At The Laptop But They Did And T Show What A Slut On The Laptop,Normal Text
They Were In A Living Room Sitting On The Couch Implying That They Were A Couple,Normal Text
Its Really Sad How So Many Whites Just Denial Of Normal T Even Care And There Actually Happy That This Is Coming To Be,Normal Text
There S More Sex And Sleaze Condensed On The Shelves Of The Check Out Line Than You Ll Get In Hours Of Television And Hours Of Television Is Lethal To Your Spirit,Normal Text
And Her Husband Is Tom Brady This Good Looking White Nordic Guy Here S A Photo Of Them With Their White Children,Normal Text
I Actually Celebrate Black History Month,Normal Text
I Have A Dream One Of These Days Black Occupation Of America Will Be History,Normal Text
Pathological Killers They Are,Hate Speech
Jews Have Been Poisoning Wells Since Biblical Times,Hate Speech
No Wonder Whatever Are In Such Bad Shape With This Tribe In Charge Of The White House And Congress,Hate Speech
The Jew Represents The Snake,Hate Speech
All You Need Is To Cut Off It S Head And The Rest Of The Problems Will Crumble Away With Ease,Hate Speech
I Hate To See Such Beautiful White Females Become Victims Of These Sick Violent Merciless Animals,Hate Speech
Separation Is The Only Answer,Hate Speech
White Americans And White Europeans Have Too Few Children,Hate Speech
Other Than The Amish No Other Group Of Whites Has Large Families,Normal Text
Honestly The Better Idea Is Private Schools For Our People The Average Parent Is A Poor Teacher,Normal Text
The Muslims Have Ultra Strict Racialist Private Schools The World Over Why Do And T Whites,Normal Text
While They Are In Prison The Kikes Should Get The Same Food The Regular Prison Population Gets,Normal Text
Who The Hell Cares If It S Not Kosher,Hate Speech
This Is And T The Local Diamond Hilton Situated On Some Sunny Beach,Hate Speech
Whatever Do Not Care About Alaska While It Is Not White Land,Normal Text
Whatever Are More Concerned About Dog Controlling Us And Russia,Normal Text
Why Do And T White Europeans And Americans Grow A Set Of Balls And Deport These Black And Brown Animals From Their Countries,Hate Speech
Another Errors Update More Video And Photos Video Hyper Text Transfer Protocol Video Google Com Video Play Doc Id Five Quintillion Two Hundred And Sixty Eight Quadrillion Eight Hundred And Ninety Four Trillion Five Hundred And Ninety Seven Billion Seven Hundred And Ninety Four Million Two Hundred And Seventy Seven Thousand And Thirty One Video A Fascinating Conversation Between Dr Alfred Yearling Dr Duke,Hate Speech
Kris Roman Kristen Dr Alfred Yearling Dr David Duke Theory Van Roy Frederik Ransom Andreas Thierry Stefano Gas,Normal Text
Robert Stickers And Dr David Duke Gunther Van Den And En Dr David Duke Euro Us,Normal Text
Euro Us For A Great Europe From Gibraltar To Vladivostok,Normal Text
Hyper Text Transfer Protocol Www Errors Org,Normal Text
What Would You Have Done Instead,Normal Text
Ignore The Genocide On Serbs Turn Your Back On Your Own People,Normal Text
Then You Are A Traitor,Normal Text
Woodlands Rain In An Oak Forest,Normal Text
Finns Mixed With Swedes And Got Blond Hair And Blue Eyes But Ethnical Finn Look Like Tatar Dark Hair Dark Eyes Short Height Round Face,Normal Text
The Reasons Alcoholism Takes Around One Hundred And Fifty Thousand Lives Every Year,Normal Text
Aids Around Twenty Thousand Every Year,Normal Text
Emmigration Around Fifty Thousand One Hundred Thousand Per Year,Normal Text
Heart Diseases Around One Hundred Thousand Per Year,Normal Text
High Mortality Rate Like Country Is At War,Normal Text
Lowest Birthrate In World,Normal Text
Hyper Text Transfer Protocol Www Guardian Co Uk Russia Art Seven Hundred And Seventy Two Thousand One Hundred And Seventy Five Zero Html Attack Putin,Normal Text
If I Were In The Audience I D Clap Till My Hands Were Numb,Normal Text
That S Telling Worthless S Oh B S Like Cheney What They Can Do With Their Cheap Words And Crocodile Tears,Normal Text
I Have Long Loved Tchaikovsky Ballets And Mussorgsky Operas And Now I Enjoy Russian Traditional Music As Well,Normal Text
I What A Slut Recently In Zaporozhye Ukraine Which Has A Famous Cossack Enclave Where I Had The Opportunity To Dine At A Cossack Restaurant And Listen To Traditional Cossack Music Played Live,Normal Text
Listening To This Music Brings Back Memories Of All My Visits To Russia And Ukraine,Normal Text
I Keep Telling People About Things Like This And They Never Believe Me,Normal Text
I Want To Show Them This Thread,Normal Text
This Is Great,Normal Text
It What A Slut Until Kveldulf Saw Fit To Open It Up Again With His Unnecessary Comments,Normal Text
I Have To Go To Work Now,Normal Text
Hispanic A Woman Threw Her Year Old Granddaughter Several Stories To Her Death From A Walkway At A Shopping Mall Hyper Text Transfer Protocol Www Com Video Twenty Five Million Nine Hundred And Sixty Two Thousand One Hundred And Thirty Six Indexes Html Afro American Police Arrested A Year Old Who They Said Burglarized A Home Over The Thanksgiving Weekend,Normal Text
Jacksonville Police Said Brian Williams Broke Into The Home On Braddock Road While The Family What A Slut Out Of Town And Baked Brownies Drank Orange Juice Surfed Porn Websites And Loaded Up The Victim S Car With Bottles Of Liquor,Normal Text
Hyper Text Transfer Protocol Www Com News Twenty Five Million Nine Hundred And Seventy Six Thousand Nine Hundred And Fifty Five Detail Html,Normal Text
Sex Male Race Black D Oh B Height Weight Eye Brown Hair Black In Custody For Misdemeanor Count Of Criminal Trespass Deg This Dude Looks Like An Old Version Of Cornelius From Planet Of The Apes,Normal Text
You Can Have Your Site On Odin Rage But Host Your Picture And Zip Files Somewhere Else Like Velocities Com Because Odin Rage Does Not Give Much Room,Hate Speech
Denial Of Normal T Want To Ruin The Spirit Of The Mood But Are And T Russians For The Most Part Orthodox Christian And They Have A Different Day For Christmas,Normal Text
I Think It Is Or Not The Same As Us,Normal Text
Because The Communist Party What A Slut Almost All Jew Out To Kill Any Gentile That Stood In Their Where Are You Or Had Property That The Jew Communist Wanted,Normal Text
Hyper Text Transfer Protocol Www New Nation Vg Forums Show Thread Php P Three Hundred And Twenty Five Thousand Nine Hundred And Ten Coach Accused Of Fondling Student S Mother Alerts Deputies After Finding Note Posted Updated Am Est Pedophile Alert Robert Bennett Hyper Text Transfer Protocol Www Clickorlando Com Education Detail Html,Hate Speech
Just Got Turned On To A Website From A Friend Of Mine,Normal Text
Shows Some Interesting Statistics About The Jew Rats,Normal Text
Hyper Text Transfer Protocol Ifamericaknew Org,Hate Speech
It S Sort Of Like The Black Computer Genius That Only Appears With Any Ubiquity On Television Or In The Cinema,Normal Text
I Know They Reply Probably Out There But I Ve Never Met A Black Is Professional Who What A Slut And T Exclusively In Sales,Normal Text
Have You Ever Heard About Death Mask Of Franco,Normal Text
One Day I Have Seen It One Bay But I Am Not Sure About Authenticity Of The Mask,Normal Text
Is This Group In Sweden Genuine Or Are They Thieves Who Steal Money But Never Send The Goods You Order,Normal Text
Can Any Swedish Comrades Tell Me About Them,Normal Text
She Is White But Looks Somewhat Below Average For A White Swedish Girl I Think,Normal Text
Why Do The Swedes Hide Their Best Looking Females,Normal Text
I Must Just Say Before This Thread Possibly Dies That I Have Great Fear That Without Action The Because Will Die Along With The Rise Of Multiculturalism,Normal Text
My Norwegian Uncle Has Been Visiting And He Has Shared With Us Some Things About Christmas Celebrated In Norway,Normal Text
I Also Have Been Talking To A Person From Denmark And I Learned About Gingerbread Dancing Around The Tree And The Various Customs Of Dinner Place Presents Under The Tree Desert Dance Around Tree Open Presents,Normal Text
I Found It To Be Pretty Interesting And I Hope You All Had A Gdelig,Normal Text
Ca And T Wait Until Tomorrow,Normal Text
I Had Actually Written The Post For Last Summer But Had To Cancel My Trip So It Is Okay Every Body Cool L Shane,Normal Text
Laughing Out Loud Okay I Give Up I Just Had Never Heard That Specific It Means Cool A K A Before And It What A Slut And T In My Dictionary,Normal Text
And Since I Am Not Really Sure Allen Or Horace England I Ca And T Say If It S In Svenja Academics Oralist,Normal Text
I Think Some Of You Are A Bit Wrong On This One Since Our Race Is Our Nation When Will You Learn,Normal Text
It Makes Me So Damn Angry That The Swedes Ca And T See It,Normal Text
The Blacks And Browns Are Destroying Sweden And Nobody Does Anything About It Made Made Made,Normal Text
The Only Thing Manipulated Here Are The Minds Of Few Foreigners Who Reckon They Can Live Amongst Superior Pagan Blood,Hate Speech
What Say You Of Rotunda,Hate Speech
Do You Have Any Figures On This,Normal Text
I Am Pretty Sure That Tens Of Billions Are Sent Abroad Every Year Even Though Stays In Sweden,Normal Text
Hmm Let S Try Again Viewing By Number Of Asylum Seekers Per Zero Population,Normal Text
These Are Much More Important In My Estimation,Normal Text
For Instance The S Let Us In About Zero People Legally Every Year While Canada Let Us In About Zero,Normal Text
However In Per Capita Rates You S Legal Immigration Is At About Per Zero Annually While For Canada It S About,Normal Text
Thus Shockingly Canada Actually Achieve A Non White Majority Before The S Does,Normal Text
Denmark Zero Zero Assuming Population Of Million Good Job Denmark,Normal Text
Let S See It Get Down To Zero,Hate Speech
Norway Assuming Population Of Million Sweden Assuming Population Of Million Iceland Is At About Zero,Normal Text
Finland However Used To Be Very Low But It S Now Higher Than Denmark And Nearly As High As Norway,Normal Text
By Per Capita Take Ins Norway What A Slut The Worst In But Apparently The Norwegians Cracked Down In And They Reply Now Lower Than Sweden S Rate,Normal Text
That Is Good News When I What A Slut In Norse,Normal Text
The Only Blacks I Saw Were Somalis And They Reply A Cross Mix Of Black And Arabs,Normal Text
No It S Not Possible,Normal Text
Read The Earlier Posts And See That There Are Still Lots Of Non Whites Coming To Denmark,Normal Text
I Do And T Dare To Look At Them,Normal Text
You Should See What My Grandma S Hair Looked Like Years Ago,Normal Text
Eldritch And I Went Early To The Harbor But All The Boats Were Cancelled On Account Of Rough Weather,Normal Text
One Day Brother One Day,Normal Text
I Ve Seen On The Web He Is Making A New Horror Film Called It Waits But Cannot Find That Much About It,Normal Text
I Thought They Agreed They Would Not T Do The Salem This Year Because His Parents Did Not T Want The Media Attention,Normal Text
Why Are You Afraid That Your Son Might Come And Find You Drunk In A Bar Years Later And Try To Kill You Or Something,Normal Text
Damn Finland Is Closing In On Sweden In This Poll,Normal Text
But You Are Most Welcome Anyway Uric War Spirit,Normal Text
I Get What You Re Saying And There Are Thousands Of Non Irish Here Who Will Never Contribute Anything To This Land,Normal Text
The Folk I Am Talking About Have Been Shoulder To Shoulder With Me For A Long Time And I Will Continue To Show Loyalty And Respect To Them As They Have More Than Earned It,Hate Speech
Unless You Are A Tourist Or Here Is The Study For A Year Or Two Please Just Go Back Russian Whatever Do Not Need Or Want More Slavs,Normal Text
What A Load Of Crap Water Are Yeah People For Real Ireland Is Being Taken Over By Non Irish And This Rubbish,Hate Speech
I Hate It Means Cool A K A Racist It Makes People Being Called Racist Think That They Are Doing Something Wrong When They Have The Immigrants Coming Here Are Doing Something Wrong,Hate Speech
Reminds Me Of An Old Joke,Hate Speech
What Is The Difference Between Stop That Parks Day And Martin Luther King Day On Stop That Patrick S Day Every Body Wishes They Are Irish,Normal Text
I Am Sorry That Many People In My Country Are Stupid,Normal Text
They Feel The Need To Close Down A Prison Full Of Terrorist People Who Aided In The Killing Of Our Soldiers And Scatter Them All Around The World,Normal Text
And The Poles Decide To Up And Leave Therefore Devastating The Irish Economy As Every Man And His Dog Are Telling Us What Are The Potential Ramifications For Our Welfare Scrounging Visitors From Far Ashore,Normal Text
No I What A Slut Asking For A Link For Where It Says Their Banning The Celtic Cross But Thanks For The Link I Ll Check It Out,Normal Text
If They Have Some Marches And What Not About Showing Pride In Their Culture You Guys Should Go Out And Do The Same If You Could Try And Contact People You Know In Different Cities And See If Their Willing To Do The Same,Normal Text
Good Luck Noremorsenoregrets Hopefully Its Good News About Your Job And Let Us Hope You Do Not Become Another Figure In A Stat,Normal Text
I Posted A Thread In Storefront Ireland The Week Before About English Hooligans Slashing An Irish Men Throat The Thread Disappeared Without Explanation,Normal Text
A Crude Drawing Of A Swastika On A Wall With Spray Paint Will Only Make Neutral People Associate Nazi S With Common Lowlife Scum,Normal Text
Can A Mod Also Change The Thread Title So It Says The Do Not Want People Showing Up Days Late,Normal Text
Watching Those Videos Makes Me Feel Like I Am Going To Explode With Hatred For Those Creatures,Normal Text
A Feel A Mix Of Intense Hate And Depression That Whatever Have Let Things Degenerate So Far,Hate Speech
From What I Know They Reply Almost Exclusively Nigerian Asylum Seekers,Normal Text
They Have A Few Of Their Own Shops A Food Shop By The Bus Train Station And A Clothes Shop Where They Sell Full And Other Assorted Gangster Rap Crap,Normal Text
This Filth Is A Sectarian British Song Not An Irish Folk Song The Sort Of Scum Who Wrote And Admire This Filth Have No Place On A When Forum Let Alone An Irish Forum,Normal Text
Thanks For That Limerick Pit I Have Put That On My Planner No Doubt It Will Be A Total Restoration Of The Facts,Hate Speech
During The Early Punk Scene He What A Slut Always Seen Decked Out In A Union Flag Blazer Then All A Sudden An Instant Nationality Transplant,Normal Text
Well Done At Least Someone Is Getting Off Their Ass And Taking Action Rather Than Sitting Behind A Computer Being A Cyber Warrior I Hope Others Will Follow Suit,Normal Text
So If A Fellow White Man Rapes My Daughter Or Kills My Brother I Should Let It Go Because He Is White,Normal Text
It S A Disgrace My Sister Has Been On The Waiting List For Years And Their Giving Away Houses To These Scumbags,Normal Text
Most Of The Info On This Site Is Out Of Date But It Has Some Interesting Information On The Groups Ores That Have Come And Gone Over The Years,Hate Speech
Hyper Text Transfer Protocol Www Thinking About You Ac Il Anti Semitism A Ireland Him,Normal Text
The Younger Limerick Crowd Say The Gangs From Morose Are In Regular Fights With The Poles They Go Around In Tens And When They Meet All Hell Breaks Loose Its Very Like In East Germany With The Poles And Working Class Irish,Normal Text
I What A Slut Away For The Weekend That Is Why I Did Get Around To Posting My Blood Group I Do And T See Why I Should Bother Anyway By The Way I Am In Blood Group Oh,Normal Text
The Church Of Ireland Archbishop Of Dublin Has Called For An Amnesty For Immigrants Who Have Been In Ireland For Five Years Or More Without Their Status Being Resolved,Normal Text
Hyper Text Transfer Protocol Www The Post That Is Post Pages P S Sqq Asp,Normal Text
Thanks It Not Seem Like Much But Just Putting One Of Those Leaflets Up On A Noticeboard Gets A Lot Of People Talking,Normal Text
No It Is Not A Joke Whatever Have A Very High Standard Education System Here In Ireland,Normal Text
It Is As Good As Anywhere In The World,Normal Text
Thankfully The See Camp Out Will Go Ahead This Year,Normal Text
Unfortunately Whatever Missed Out Last Year But This Year S Occasion Will Definitely Make Up For It,Normal Text
Beautiful Scenery Music Campfire And Good True Company,Normal Text
Looking Forward To It,Normal Text
I Read Recently In Cold Black And White Print That There What A Slut Around Zero Nigerians In Ireland Now You Say Close To Zero,Normal Text
Is This True,Normal Text
These People Who Want Foreign Aid Increased Are The Same People Who Walk Past Irish People Living Rough On The Streets And They Do And T Care About The Old People Who The Government Ignores,Normal Text
I Had A Few Of The Cds And Gave Them All Away Let Me See If I Can Get You A Copy,Normal Text
Denial Of Normal T Think You Supremacists Would Ever Be Able To Build Up The Force Of Resistance That Irish Republicans Did Mate,Normal Text
Look On In Jealousy,Normal Text
Lie Lie Lie,Normal Text
Irish Men Are Rosewood Beautiful,Normal Text
I Love Their Darker Hair Their Skin Their Eyes,Normal Text
They Are Stunning Kiss,Normal Text
The Article Says They Went Into Mainstream Schooling So I Think That Must Have Played A Role In It The Drugs Were Proscribed To Them For Health Problems,Normal Text
There Is An Active Community Here You Just Need To Get Off The Net To Find It,Normal Text
Use Pm To Get In Touch,Normal Text
How Could You Begin To Tell People That All This Multicultural Stuff Is Wrong Without Being Hated On By Our Fellow People,Normal Text
Yeah It What A Slut The Same Where Are You When I What A Slut Going To School In Calgary The Problem Is They Have Like Kids Where Whatever Only Have About Children Usually,Normal Text
Are Only Chapter Right Now Is In The Fraser Valley Near Vancouver But Were Looking To Open Chapters All Over Canada,Normal Text
Some Natives Were Driving Around In A Truck A Few Years Ago,Normal Text
Nothing Unusual About That Except It Said On The Back Window,Normal Text
Work Harder White Boy My Brother Needs A New Truck,Normal Text
There Are Other Games Similar To The First You Described Evil Grin Fifa And The British Fa,Normal Text
By The Way I Am Led To Believe That Football Soccer What A Slut Invented In Somalia In About Ad,Normal Text
Pigs Bladders Were Not Used There And The Footballs Were Made From Camels Doings,Normal Text
Like I Said Earlier The English Have Been Subjected To A Far Worse Campaign Of Indoctrination Than The Rest Of Us,Normal Text
I Have To Admit I Do And T Think I Ve Ever Met A Briton And I Am English So You Must Know Something That I Do And T Know Good For You,Normal Text
I Base This Post On The Fact That I Live A Few Hundred Yards From The House I What A Slut Born In And Have Never Felt The Desire To Suck The Milk From Anything Other Than An English Nipple,Normal Text
My Mind S Eye Small Faces Youtube,Normal Text
I Would Not Even Use Anything That Man Says Winston Churchill Is The Reason Whatever Are In This Mess In The First Place The Bastard Should Have Been Shot,Normal Text
I Think They Have,Normal Text
I Have This Vision Of A Left Christian Screeching The Meek Shall Inherit The Earth As A Member Of The Peaceful Religion Goes A Chopping Humor,Normal Text
What Do I Know,Normal Text
Why Would You Want To See This Pollution Spread Further Into Our Gene Pool,Normal Text
Thanks To The Gods She Has Chosen To Go With Her Own Kind,Hate Speech
I Have Just Followed The Link For The Bdp Tried To Check The Policies Only To Be Shown A Lot Of Latin That Translates As Total Gobbledygook,Hate Speech
A Happy Stop That David S Day To All Of Our Welsh Compatriots,Normal Text
From Your One Time Enemies And Now Eternal Allies The English,Normal Text
Today I Had An Assembly On Diversity And How Whatever Should Embrace Other Cultures And Learn About Them,Normal Text
Not One Mention Burns Night Our Own Culture,Normal Text
Reply What Is Happening In Our Schools,Normal Text
Simple Truth Is That Sadly They Are Preparing Them For The Only Future That Marxism Offers,Normal Text
Denial Of Normal T Be Ridiculous,Normal Text
So You Advocate Independence Just To Join Another Sovereign Nation As Wales Would Be In This Hypothetical Scenario,Normal Text
The Operator Has Gone To Sunnier Climes For A Couple Of Weeks So I Ll Close This Now And Explain To Him On His Return,Normal Text
Denial Of Normal T Care Much For Football These Days And Sincerely Hope That The Team Called England Get A Hiding But I Will Be Wearing My New Serbia Shirt During The Tournament Come On Serbia Do Us Proud,Normal Text
Is Anyone Else Fed Up With People Using The So Called Race Card Against You If So Tell Us About It,Normal Text
No I Will Not Be Buying Guns And Bullets,Normal Text
And It S Not My Fault The Bnp Is Run By A Gangster,Normal Text
Yeah I Am From Edinburgh And I When I What A Slut At Secondary School My Classes Where Full Of Blacks And Pakis And Half Them Could Hardly Speak English,Normal Text
I Do This And The Looks I Get Out Of Disgust Are Regular But I Happily Carry On Walking And Laugh Them Off They Think Showing Me A Few Pictures Of Afro American Kids On A Poster Without A Burger Is Going To Make Me Want To Give Money To Them,Normal Text
Yeah I Heard That One To Or Whatever All Came From Africa Anywhere Are You So Why Dose It Matter My Answer Whatever Evolved To Be Better,Normal Text
Yes It Is Dying Down The Only Where Are You Whatever Could Beat Our Problem Is By Voting For Bnp In The Next Election,Hate Speech
Hello To All My Friends Here On The Forum,Normal Text
There Is A Sign Up Placed By The Council Stating No Ball Games So What Are They Doing Yes Playing Football,Normal Text
Playing With Their Scooters Bikes And Other Noisy Toys Right Outside Our Windows,Normal Text
Can Hardly Hear Our Television,Normal Text
It Got So Bad That I Literally Outside With Our Dog He What A Slut On A Lead,Normal Text
They All P D Off And Stayed Up Their End With That Stupid Look On Their Faces,Normal Text
I There For Minutes And Then Took The Dog For A Walk,Normal Text
There Must Have Been About Of Them All Black And Others Coming In To Join Them,Normal Text
There What A Slut Not One White Child Amongst Them,Normal Text
Oh Yes And To Round It All Off Whatever Have New Neighbors Moved In,Normal Text
Foreign Of Course,Normal Text
I Had To Open The Landing Window Earlier Because The Stench Of Their Cooking What A Slut Overpowering,Normal Text
Thankyou All For Allowing Me To Vent As I Feel So Angry,Normal Text
He Wrote The Truth And You Do Not Know If He Is White Or Not As None Knows Who Post Here Is A Confirmed White,Normal Text
On The Other Hand Point To Anything He Posted As Not To Be The Absolute Truth,Normal Text
Every Time I See A Black Security Guard They Are Either Down Or On The Phone They Have No Professionalism Whatsoever,Normal Text
Yes More Homosexual Degeneracy Foisted Upon The Silent Majority,Hate Speech
Dare To Speak Out In A Country With Supposed Free Speech And You Reply Labelled A Bigot,Hate Speech
Hey I Am Not Really New To Browsing The Forums But I Ve Only Just Got His Account And Have Decided To Become More Active Online And In Day To Day Life,Normal Text
If You Follow The Cycle Of Water What Whatever Drink Has Already Been Down The Toilet A Few Times So It S Nothing New,Normal Text
Agree With Barrrytheanglosaxon With Many Points Oh,Normal Text
English Team Are White,Normal Text
And One Of Thing I Like In Football Among Football Fans Many White Patriots Right Wing Ultras Us Youtube,Normal Text
I Cannot Understand Why People In Britain Loves So Much To Breed With Non Whites It Keeps Me Shocking When I Go There,Normal Text
I Have Never Seen Such Thing In Any Other Country,Normal Text
Something Mysterious Must Be Happening There,Normal Text
Did Not You Just Say Whatever Reply All Going To Die Off Anyway But It S Okay Because More White People Are Going To Replace Us,Normal Text
Coming Right Up,Normal Text
There S Sugar In The Bowl And Lemon On The Side,Normal Text
It S A Pleasure To Make Your Acquaintance Madam,Normal Text
Is It A Competition On Television To Get The Most Alien Looking Black And To Put Them With A White Woman,Normal Text
In Light Of Who Brings It Up I Would Imagine That Like All Their Other Claims And Accusations This Is Wildly Exaggerated,Normal Text
Do You Mean,Normal Text
It Is Better To Be Hated For What You Are Than To Be Loved For What You Are Not,Normal Text
Andre Gide French Critic Essayist Novelist,Normal Text
Yeah Whatever Could Do With The Same Amount Of Black Rapists As The Nordic Countries Are Privileged Enough To Have,Normal Text
Yes True It Reminds Me Of This Incident Muslim Extremists Abuse Royal Anglican Troops After Afghanistan Return Barking London Youtube,Hate Speech
Surely Got To Be More Than That Town To Town You See Minority Whites If Whites Are Supposed To Be At Least Million It S A Very Hard Where Are You Of Showing It,Normal Text
Personal Card For Teacher Johann Aretha In The Upper Silesia Village Of Kaminietz Near Most Gleiwitz Tossed Twice,Normal Text
The Name Of The Village What A Slut Changed To Drama Stein During The Third Reich Today It Is Called Kamieniec In Poland,Normal Text
First I Am Not From Moldavia,Normal Text
Second I Really Hope One Day You Chauvinists Try To Take Our Transylvania From Us Posed Rings A Bell Bail Ring A Bell Seminar Ring A Bell,Normal Text
Budapest Treason Ring A Bell Our Military Is Still Vastly Superior To Yours As It Has Always Been,Normal Text
There Is No Where Are You You Are Taking Our Ancestral Homelands From Us Ever,Normal Text
Oh That S Just Great,Normal Text
I Enjoy When A Brit Comes In And Tells Bulgarians Everything They Need To Know About Themselves,Normal Text
The Girl Is Indeed Amazing,Normal Text
Whatever Could Have So Much More Sports Medals If Our Politicians And Authorities Were Not Such Greedy Bastards,Normal Text
Hi Everyone I Am From Slovenia And I Utterly Hate Every Living Muslim In This World And I Despise Even The Dead Ones,Normal Text
Whatever Had Somebody There To Monitor This Protest They Had Around People There Despite Their Claims That They Usually Have Hundreds At Their Demos,Hate Speech
My Friend Lives In Gdansk And He Told Me Almost Everyone In His City What A Slut White Except Some Foreign Students And A Chinese Man Who Owns A Dive Bar,Normal Text
There Is Not Enough Interest On Either Side For A Reply Unification To Be Attempted,Normal Text
